Adult2OtherChild,Adult2Others,Adult2TargetChild,Adult2unsure,Adultfemale,Adultmale,Childsleep,Childvoc,Media,Multiple_adults,Otherchild2OtherChild,Otherchild2TargetChild,Otherchild2adults,Otherchild2unsure,PID,Unsure_adults,age_YYMMDD,annotate_date_YYYYMMDD,annotator,beginoptions,comments,date_YYYYMMDD,file_name,gender,id,outdir,percents_voc,repeats,researcher_present,sleeping,timestamp_HHMMSS
Categorize language to other child(ren),English/Quechua,Spanish,Categorize language to someone unknown,1.0,1.0,0.0,1.0,Categorize media,1.0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0.0,0.0,20180827,2020-09-18 11:40:20.393695,Meg,Categorize clip,,20190611,1032_180827_0045.wav,female,1032,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1032/30secs_output,0.298,0.0,0,0.0,00:22:30
Categorize language to other child(ren),English/Quechua,English/Quechua,Categorize language to someone unknown,1.0,1.0,0.0,0.0,Categorize media,1.0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0.0,0.0,20180827,2020-09-18 11:40:58.752260,Meg,Categorize clip,,20190611,1032_180827_0047.wav,female,1032,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1032/30secs_output,0.154,0.0,0,0.0,00:23:30
Categorize language to other child(ren),English/Quechua,Unsure,Categorize language to someone unknown,1.0,1.0,0.0,1.0,Categorize media,1.0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0.0,0.0,20180827,2020-09-18 11:42:17.171578,Meg,Categorize clip,,20190611,1032_180827_0049.wav,female,1032,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1032/30secs_output,0.193666667,1.0,0,0.0,00:24:30
Categorize language to other child(ren),English/Quechua,Categorize language to target child,Categorize language to someone unknown,1.0,1.0,0.0,1.0,Categorize media,1.0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0.0,0.0,20180827,2020-09-18 11:43:02.663916,Meg,Categorize clip,,20190611,1032_180827_0051.wav,female,1032,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1032/30secs_output,0.037000000000000005,0.0,0,0.0,00:25:30
Mixed,English/Quechua,Categorize language to target child,Categorize language to someone unknown,1.0,1.0,0.0,0.0,Categorize media,1.0,Categorize language to other child(ren),Categorize language to target child,Unsure,Categorize language to someone unknown,0.0,0.0,20180827,2020-09-18 11:43:43.951737,Meg,Categorize clip,,20190611,1032_180827_0053.wav,female,1032,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1032/30secs_output,0.172,0.0,0,0.0,00:26:30
Categorize language to other child(ren),English/Quechua,Categorize language to target child,Categorize language to someone unknown,1.0,1.0,0.0,0.0,Categorize media,1.0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0.0,0.0,20180827,2020-09-18 11:44:20.817420,Meg,Categorize clip,,20190611,1032_180827_0055.wav,female,1032,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1032/30secs_output,0.08900000000000001,0.0,0,0.0,00:27:30
Categorize language to other child(ren),English/Quechua,Categorize language to target child,Categorize language to someone unknown,1.0,1.0,0.0,0.0,Categorize media,1.0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0.0,0.0,20180827,2020-09-18 11:46:10.511006,Meg,Categorize clip,,20190611,1032_180827_0057.wav,female,1032,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1032/30secs_output,0.043,1.0,0,0.0,00:28:30
Categorize language to other child(ren),English/Quechua,Categorize language to target child,Categorize language to someone unknown,1.0,1.0,0.0,0.0,Categorize media,1.0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0.0,0.0,20180827,2020-09-18 11:46:49.736770,Meg,Categorize clip,,20190611,1032_180827_0059.wav,female,1032,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1032/30secs_output,0.049666667000000005,0.0,0,0.0,00:29:30
Categorize language to other child(ren),English/Quechua,Categorize language to target child,Categorize language to someone unknown,1.0,1.0,0.0,0.0,Categorize media,1.0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0.0,0.0,20180827,2020-09-18 11:47:28.458031,Meg,Categorize clip,,20190611,1032_180827_0061.wav,female,1032,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1032/30secs_output,0.021,0.0,0,0.0,00:30:30
Categorize language to other child(ren),English/Quechua,Categorize language to target child,Categorize language to someone unknown,1.0,1.0,0.0,0.0,Categorize media,1.0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0.0,0.0,20180827,2020-09-18 11:48:06.461013,Meg,Categorize clip,,20190611,1032_180827_0063.wav,female,1032,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1032/30secs_output,0.037333333,0.0,0,0.0,00:31:30
Categorize language to other child(ren),English/Quechua,Categorize language to target child,Categorize language to someone unknown,1.0,1.0,0.0,0.0,Categorize media,1.0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0.0,0.0,20180827,2020-09-18 11:48:42.380015,Meg,Categorize clip,,20190611,1032_180827_0065.wav,female,1032,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1032/30secs_output,0.233333333,0.0,0,0.0,00:32:30
Categorize language to other child(ren),English/Quechua,Categorize language to target child,Categorize language to someone unknown,1.0,1.0,0.0,0.0,Categorize media,1.0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0.0,0.0,20180827,2020-09-18 11:49:18.083627,Meg,Categorize clip,,20190611,1032_180827_0067.wav,female,1032,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1032/30secs_output,0.08433333300000001,0.0,0,0.0,00:33:30
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0.0,0.0,0.0,1.0,Categorize media,0.0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0.0,0.0,20180827,2020-09-18 11:49:49.453346,Meg,Categorize clip,,20190611,1032_180827_0069.wav,female,1032,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1032/30secs_output,0.282,0.0,0,0.0,00:34:30
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0.0,0.0,0.0,1.0,Categorize media,0.0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0.0,0.0,20180827,2020-09-18 11:50:22.319175,Meg,Categorize clip,,20190611,1032_180827_0071.wav,female,1032,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1032/30secs_output,0.059,0.0,0,0.0,00:35:30
Spanish,Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0.0,1.0,0.0,1.0,Categorize media,0.0,Categorize language to other child(ren),Categorize language to target child,Spanish,Categorize language to someone unknown,0.0,0.0,20180827,2020-09-18 11:52:08.498343,Meg,Categorize clip,,20190611,1032_180827_0073.wav,female,1032,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1032/30secs_output,0.206,0.0,0,0.0,00:36:30
Unsure,Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0.0,1.0,0.0,1.0,Categorize media,0.0,Categorize language to other child(ren),Categorize language to target child,Unsure,Categorize language to someone unknown,0.0,0.0,20180827,2020-09-18 11:52:48.222313,Meg,Categorize clip,,20190611,1032_180827_0075.wav,female,1032,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1032/30secs_output,0.332333333,0.0,0,0.0,00:37:30
Spanish,Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0.0,1.0,0.0,0.0,Categorize media,0.0,Spanish,Categorize language to target child,Spanish,Categorize language to someone unknown,0.0,0.0,20180827,2020-09-18 11:53:33.405053,Meg,Categorize clip,,20190611,1032_180827_0077.wav,female,1032,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1032/30secs_output,0.12666666699999998,0.0,0,0.0,00:38:30
Spanish,Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0.0,1.0,0.0,1.0,Categorize media,0.0,English/Quechua,Categorize language to target child,Mixed,Categorize language to someone unknown,0.0,0.0,20180827,2020-09-18 11:58:32.075535,Meg,Categorize clip,,20190611,1032_180827_0079.wav,female,1032,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1032/30secs_output,0.199666667,2.0,0,0.0,00:39:30
Spanish,Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0.0,1.0,0.0,0.0,Categorize media,0.0,Unsure,Categorize language to target child,Spanish,Categorize language to someone unknown,0.0,0.0,20180827,2020-09-18 11:59:16.329182,Meg,Categorize clip,,20190611,1032_180827_0081.wav,female,1032,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1032/30secs_output,0.386333333,0.0,0,0.0,00:40:30
Spanish,Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0.0,1.0,0.0,0.0,Categorize media,0.0,Unsure,Spanish,Spanish,Categorize language to someone unknown,0.0,0.0,20180827,2020-09-18 12:00:01.884141,Meg,Categorize clip,,20190611,1032_180827_0083.wav,female,1032,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1032/30secs_output,0.428,0.0,0,0.0,00:41:30
Spanish,Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0.0,1.0,0.0,1.0,Categorize media,0.0,Categorize language to other child(ren),Categorize language to target child,Unsure,Categorize language to someone unknown,0.0,0.0,20180827,2020-09-18 12:01:14.941951,Meg,Categorize clip,,20190611,1032_180827_0085.wav,female,1032,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1032/30secs_output,0.254666667,1.0,0,0.0,00:42:30
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0.0,0.0,0.0,0.0,Categorize media,0.0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Unsure,0.0,0.0,20180827,2020-09-18 12:01:47.956859,Meg,Categorize clip,,20190611,1032_180827_0087.wav,female,1032,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1032/30secs_output,0.082666667,0.0,0,0.0,00:43:30
Spanish,Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0.0,1.0,0.0,1.0,Categorize media,0.0,Categorize language to other child(ren),Categorize language to target child,Unsure,Categorize language to someone unknown,0.0,0.0,20180827,2020-09-18 12:02:25.509687,Meg,Categorize clip,,20190611,1032_180827_0089.wav,female,1032,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1032/30secs_output,0.163666667,0.0,0,0.0,00:44:30
