file_name,id,age_YYMMDD,date_YYYYMMDD,gender,timestamp_HHMMSS,percents_voc,researcher_present,sleeping
267-12mo_01-01-2013_0157.wav,267-12mo,1/1/13,1/1/14,male,01:18:30,0,0,1
267-12mo_01-01-2013_0158.wav,267-12mo,1/1/13,1/1/14,male,01:19:00,0,0,1
267-12mo_01-01-2013_0159.wav,267-12mo,1/1/13,1/1/14,male,01:19:30,0,0,1
267-12mo_01-01-2013_0160.wav,267-12mo,1/1/13,1/1/14,male,01:20:00,0,0,1
267-12mo_01-01-2013_0161.wav,267-12mo,1/1/13,1/1/14,male,01:20:30,0,0,1
267-12mo_01-01-2013_0162.wav,267-12mo,1/1/13,1/1/14,male,01:21:00,0,0,1
267-12mo_01-01-2013_0163.wav,267-12mo,1/1/13,1/1/14,male,01:21:30,0,0,1
267-12mo_01-01-2013_0164.wav,267-12mo,1/1/13,1/1/14,male,01:22:00,0,0,1
267-12mo_01-01-2013_0165.wav,267-12mo,1/1/13,1/1/14,male,01:22:30,0,0,1
267-12mo_01-01-2013_0166.wav,267-12mo,1/1/13,1/1/14,male,01:23:00,0,0,1
267-12mo_01-01-2013_0167.wav,267-12mo,1/1/13,1/1/14,male,01:23:30,0,0,1
267-12mo_01-01-2013_0168.wav,267-12mo,1/1/13,1/1/14,male,01:24:00,0,0,1
267-12mo_01-01-2013_0169.wav,267-12mo,1/1/13,1/1/14,male,01:24:30,0,0,1
267-12mo_01-01-2013_0170.wav,267-12mo,1/1/13,1/1/14,male,01:25:00,0,0,1
267-12mo_01-01-2013_0171.wav,267-12mo,1/1/13,1/1/14,male,01:25:30,0,0,1
267-12mo_01-01-2013_0172.wav,267-12mo,1/1/13,1/1/14,male,01:26:00,0,0,1
267-12mo_01-01-2013_0173.wav,267-12mo,1/1/13,1/1/14,male,01:26:30,0,0,1
267-12mo_01-01-2013_0174.wav,267-12mo,1/1/13,1/1/14,male,01:27:00,0,0,1
267-12mo_01-01-2013_0175.wav,267-12mo,1/1/13,1/1/14,male,01:27:30,0,0,1
267-12mo_01-01-2013_0176.wav,267-12mo,1/1/13,1/1/14,male,01:28:00,0,0,1
267-12mo_01-01-2013_0177.wav,267-12mo,1/1/13,1/1/14,male,01:28:30,0,0,1
267-12mo_01-01-2013_0178.wav,267-12mo,1/1/13,1/1/14,male,01:29:00,0,0,1
267-12mo_01-01-2013_0179.wav,267-12mo,1/1/13,1/1/14,male,01:29:30,0,0,1
267-12mo_01-01-2013_0180.wav,267-12mo,1/1/13,1/1/14,male,01:30:00,0,0,1
267-12mo_01-01-2013_0181.wav,267-12mo,1/1/13,1/1/14,male,01:30:30,0,0,1
267-12mo_01-01-2013_0182.wav,267-12mo,1/1/13,1/1/14,male,01:31:00,0,0,1
267-12mo_01-01-2013_0183.wav,267-12mo,1/1/13,1/1/14,male,01:31:30,0,0,1
267-12mo_01-01-2013_0184.wav,267-12mo,1/1/13,1/1/14,male,01:32:00,0,0,1
267-12mo_01-01-2013_0185.wav,267-12mo,1/1/13,1/1/14,male,01:32:30,0,0,1
267-12mo_01-01-2013_0186.wav,267-12mo,1/1/13,1/1/14,male,01:33:00,0,0,1
267-12mo_01-01-2013_0187.wav,267-12mo,1/1/13,1/1/14,male,01:33:30,0,0,1
