Adult2OtherChild,Adult2Others,Adult2TargetChild,Adult2unsure,Adultfemale,Adultmale,Childvoc,Media,Multiple_adults,Otherchild2OtherChild,Otherchild2TargetChild,Otherchild2adults,Otherchild2unsure,PID,Unsure_adults,age_YYMMDD,annotate_date_YYYYMMDD,annotator,beginoptions,comments,date_YYYYMMDD,file_name,gender,id,outdir,percents_voc,repeats,researcher_present,sleeping,timestamp_HHMMSS,Childsleep
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0,0,1,Unsure,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,20180827,48:49.7,Meg,Categorize clip,,20190611,1032_180827_0412.wav,female,1032,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1032/30secs_output,0.188666667,0,0,0,03:26:00,
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Spanish,1,0,0,Categorize media,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,20180827,50:57.3,Meg,Categorize clip,,20190611,1032_180827_1816.wav,female,1032,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1032/30secs_output,0.005,1,0,0,15:08:00,
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0,0,1,Categorize media,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,20180827,51:29.4,Meg,Categorize clip,,20190611,1032_180827_1636.wav,female,1032,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1032/30secs_output,0.078666667,0,0,0,13:38:00,
Categorize language to other child(ren),Categorize language to other adults,Categorize language to target child,Categorize language to someone unknown,0,0,0,Categorize media,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,20180827,51:30.4,Meg,Categorize clip,,20190611,1032_180827_0722.wav,female,1032,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1032/30secs_output,0.008333333,0,0,1,06:01:00,
Categorize language to other child(ren),Spanish,Categorize language to target child,Unsure,1,0,0,Categorize media,1,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,1,20180827,53:06.5,Meg,Categorize clip,,20190611,1032_180827_1883.wav,female,1032,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1032/30secs_output,0.016666667,1,0,0,15:41:30,
Categorize language to other child(ren),English/Quechua,Categorize language to target child,English/Quechua,1,0,1,Categorize media,1,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,20180827,54:36.5,Meg,Categorize clip,,20190611,1032_180827_1544.wav,female,1032,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1032/30secs_output,0.374666667,1,0,0,12:52:00,
Categorize language to other child(ren),Categorize language to other adults,Mixed,Categorize language to someone unknown,1,0,0,Categorize media,0,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,20180827,57:02.7,Meg,Categorize clip,,20190611,1032_180827_1861.wav,female,1032,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1032/30secs_output,0.181,0,0,0,15:30:30,
Categorize language to other child(ren),English/Quechua,Categorize language to target child,Categorize language to someone unknown,1,1,0,Spanish,1,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,20180827,57:45.8,Meg,Categorize clip,,20190611,1032_180827_0240.wav,female,1032,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1032/30secs_output,0.492,0,0,0,02:00:00,
Categorize language to other child(ren),English/Quechua,Categorize language to target child,Categorize language to someone unknown,1,0,1,Categorize media,1,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,20180827,58:50.5,Meg,Categorize clip,,20190611,1032_180827_1791.wav,female,1032,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1032/30secs_output,0.178333333,0,0,0,14:55:30,
Categorize language to other child(ren),English/Quechua,Categorize language to target child,Categorize language to someone unknown,1,1,1,Categorize media,1,Categorize language to other child(ren),Categorize language to target child,Categorize language to adults,Categorize language to someone unknown,0,0,20180827,59:31.4,Meg,Categorize clip,,20190611,1032_180827_0468.wav,female,1032,/Users/Meg/Box Sync/Diss_data/Fall_2019_LRAP/Daylong_recordings/summer_2019/1032/30secs_output,0.528,0,0,0,03:54:00,
